ResearchCenter,Researcher,Topic
MMTN,"Suprapto, S.Si., M.Si., Ph.D.","Materials Science, Chemistry, and Engineering, with particular expertise in bagasse, liquid Fuel, cathode Material, hydrogen peroxide, ionic Conductivity, surface (Surface Science), silica Gel, hydrothermal Synthesis, sodium, come Left, strontium is a type of strontium formed from a mixture of the following elements:, titanium Dioxide, fatty Acids, asam Lewis, deoxygenation, flavonoid, gas Chromatography, surface area, red, cooking oil, polar Solvent, biological Markers, meso Porosity, propane, solar, uV/VIS Spectroscopy, qSAR studies, surfactant, vitamin B, microwave, aromatic, binary Mixture, box-Behnken Design, feature Extraction, activated Carbon, functional Groups, mean Square Error, initial Concentration, crystallinity, n-Methyl-2-Pyrrolidone, fusion Process, sol-Gel Process, mass Ratio, second Order Reactions, test Solution, engineering Energy, transesterification, fourier Transform, ultrasonic, and contact Time."
MMTN,"Suprapto, Prof., Dr., Ir., DEA.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in desorb, corrosion, solution, sodium, corrosion Resistant, analysts., znO, hot Water, crop Data, kinetic Model, mathematical Model, monomer, ammonia, fatty Acids, betaine, electrodeposition, hydroxyapatite, potash, characteristics of Chemical Kinetics, functional Groups, chitosan, lumpur, mesoporous, vegetable Oil, palm oil, nanoparticles, absorption, polymerization, propane, reaktor Batch, we love each other, and sintesis Fischer-Tropsch."
MMTN,"Diah Susanti, S.T., M.T., Ph.D.","Materials Science and Engineering, with particular expertise in he loves, barium, chemical Vapor Deposition, ferronickel, hexaspheres, density, morphology, luminescence, surface (Surface Science), polianilin, physical Properties, proton Exchange Membrane Fuel Cells, come Left, voltammetry Glides, znO, strength Analysis, statistical Data, flocculation, grafena, temperature Dependence, sound Absorption Coefficient, rubber Composite, synthesis Method, monoclinic, ball Grinder, wastewater Treatment, energy Storage, pyrolysis, state Reaction, glass Structures, and hold Time."
MMTN,"Sutarsis Sutarsis, S.T., M.Sc., Ph.D.","Materials Science and Engineering, with particular expertise in anil, he loves, desorb, hydrogel, capacitance, carbide, ionic Conductivity, gas Chromatography, composite Particles, age Hardening, surface (Surface Science), oxidation Reaction, contact Resistance, quasi-Solid Supercapacitors, quantum Dots, analysts., nanofiber, austenite, light steel, grain Boundaries, light Diffraction, property Characterization, fuel Cell Performance, tar Field, aircraft Engines, modulus of Elasticity, violence Value, automotive, welding, cold Welding, precipitation Hardening, microbial Fuel Cells, life cycle, operating Voltage, and hold Time."
MMTN,"Suwarno, Prof., S.T., M.Sc., Ph.D.","Materials Science and Engineering, with particular expertise in he loves, cathode Material, leave Austen, hydride, carbon monoxide, density, wear Resistance, cobalt, magnesium, scanning Electron Microscope, strange people, fast Compaction, welding of Different Metals, creep Property, nuclear Magnetic Resonance, silicon Dioxide, titanium Dioxide, failure Analysis, carbon Steel, powdered Coal, borohydride, light Diffraction, acid Concentration, micromodel, preheater, mechanical Testing, heat Treatment, hardening Process, fuel Cell, life cycle, remaining Life, oxide Scale, reaction Stoichiometry, constant Voltage, engineering Energy, and corrosion Rate."
MMTN,"Putu Suwarta, S.T., M.Sc., P.h.D.","Materials Science and Engineering, with particular expertise in polymer Electrolytes, cathode, reinforced Composite, scanning Electron Microscope, heat Stress, surface (Surface Science), thermoplastic, circuit Diagram, heating Energy, discharge Capacity, longitudinal Compression, thin Layer, middle layer, open Hole, control Mechanism, microwave Heating, stiffness Reduction, alkaline Treatment, attraction, energy Release Rate, and knee Point."
MMTN,"Suyanto, Dr., S.T., M.T.","Computer Science and Engineering, with particular expertise in authentication, frequency Domain, geographic Information, background Noise, reconfigure, digital Signal Processing, fourier Transform, head part, security level, clean water, root Mean Square, algorithm Control, human-Machine Interface, electrical Energy, renewable energy, synchronous Generator, active Distribution Network, power Flow Optimization, panel Surya, hysteresis Comparator, power plants, energy Storage, linear Fresnel Reflector, rice Husk, speech Signals, level Control System, electrical Power Engineering, and ride Time."
MMTN,"Achmad Syaifudin, S.T., M.Eng., Ph.D.","Materials Science and Engineering, with particular expertise in fast Car, fast Car, fast Car, and fast Car."
MMTN,"Fadlilatul Taufany, S.T., Ph.D.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in he loves, cathode, high Resolution Transmission Electron Microscopy, alloy, palladium Alloy, surface (Surface Science), cellulose Acetate, oxida, sodium, come Left, znO, acetylene Gas, cell Performance, mineralization, strainer Tray, optoelectronics, pelat Bipolar, ethanol Purification, spray Drying, computer Simulation, numerical Studies, empty Fruit Bunches, fatty Acids, ethylene, water level, calcite, calcium Carbonate, carbon Black, methane, methanol, palm oil, and polysaccharides."
MMTN,"Warlinda Eka Triastuti, S.Si., M.T.",
MMTN,"Prida Novarita Trisanti, S.T., M.T.","Pharmacology, Toxicology and Pharmaceutical Sciences, Materials Science, and Engineering, with particular expertise in benzoyl Peroxide, table Salt, particle Size Analysis, stainless steel, hardwood, softwood, mixing Process, sodium, fourier Transform Infrared Spectroscopy, macro Structure, intrinsic Viscosity, lignocellulosic Biomass, wave Energy, crystallinity, plastic Processing, solvent Evaporation, alkaline Treatment, initial treatment, solid Residue, engineering Energy, classical Nucleation Theory, dissolution Rate, and error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.."
MMTN,"Triwikantoro Triwikantoro, Prof., Dr. rer. nat., M.Sc.",
MMTN,"Ruri Agung Wahyuono, Dr. rer. nat., S.T., M.T.","Materials Science, Chemistry, and Engineering, with particular expertise in al2O, aluminium, x-Ray Diffraction, fotosensitizer, density, carrier Concentration, single layer, heavy metal, microplastics, surface (Surface Science), optical Properties, nitride compounds, chemical Synthesis, sodium, thermochromic, titanate, uric Acid, nano Materials, bipiridine, the Exciting State of Electronics, chronoamperometers, pink, methylene Blue, paper-Based Analysis Tools, band Gap, hydraulic Diameter, computational Fluid Dynamics, renewable energy, irradiation, cell Performance, glucose Concentration, fuzzy Logic Control, barrier Coating, initial treatment, natural Dyes, frequency Response, rice Husk, fuel Cell, silicon Dioxide, fourier Transform, what can be observed, zirconia Stabilized by Yttria, and funny."
MMTN,"Sigit Tri Wicaksono, S.Si., M.Si., Ph.D.","Materials Science and Engineering, with particular expertise in building material, smart Materials, stainless steel, material Strength, density, coprecipitase, magnetic Nanoparticles, transparent Conductor Oxide, age Hardening, indentation Hardness Testing, electrical Resistivity, seng, sodium, nano, crystal measure, orthopedic Devices, ammonium Hydrogen Carbonate, the inside part, core Ingredients, fill Factor, fotopolimer, test Results, carbon Black, beach Violence, repeatability, panel Construction, paduan Az, three Dimensional Printing, precipitation Hardening, surface Plasmons, polyurethane, recycling Process, solar Cells, computer Simulation, ship Structure, attraction, degradation Rate, and deposition Time."
MMTN,"Nurul Widiastuti, Prof., S.Si., M.Si., Ph.D.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in analysis Thermogravimetry, film, natural gas, density, metal-Organic Framework, surface (Surface Science), glass Fiber, fourier Transform Infrared Spectroscopy, thermal Stability, contact Angle, zeolite, fuel Cell Applications, langmuir isotherm, storage Capacity, proton Conductivity, crystallinity, inversion Method, silicon Dioxide, foundry Solutions, fTIR Spectroscopy, high Temperature, fourier Transform, ammonia, citric acid, electrodeposition, chitosan, clay Minerals, palm oil, absorption, physical Absorption, ion Exchange, poly(ether-Sulfone) Polymer, and polydimethylsiloxane."
MMTN,"Widiyastuti, Prof., Dr. Eng., S.T., M.T.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in catalytic Activity, aluminium, enzymatic Hydrolysis, cathode, nanoparticle Silica, composite Particles, sodium, come Left, supercapacitor, znO, clean water, crystallinity, dynamic Method, pusher, oxygen Reduction Reaction, nano Fiber, coconut Fiber, precursor Solution, organic Acids, calcination, functional Groups, colloid, critical Micelle Concentration, mesoporous, spray Burning, absorption, zeta Potential, and young nano."
MMTN,"Tri Widjaja, Prof., Dr., Ir., M.Eng",
MMTN,"Widyastuti, Dr., S.Si., M.Si.","Materials Science and Engineering, with particular expertise in analysis Thermogravimetry, he loves, stainless steel, barium, bond Strength (Material), density, morphology, indentation Hardness Testing, come Left, crystal Structure, titanium Dioxide, sensor Applications, dihydrogen Ammonium Phosphate, discrete Elements, rotation Speed, loss of Reflection, the Power of Obstacles, elasticity Problem, deep Drawing, mixing Machine (Machine), simulation Method, mass Production, recycling Process, fire Spray, sensor Gas, microstructure, temperature Time, moles, and hold Time."
MMTN,"Ika Dewi Wijayanti, S.T., M.Sc., Ph.D.","Materials Science and Engineering, with particular expertise in anil, he loves, biocompatibility, ionic Liquids, plastic Deformation, polymer Electrolytes, epoxy, metal Hyhydrides, ion Litium, cathode, density, scanning Electron Microscope, fast Compaction, surface (Surface Science), tensile Properties, intermetallic Compounds, dielectric Spectroscopy, size Details, crystal measure, voltammetry Glides, failure Analysis, light Diffraction, bottom Wall, secondary Phase, alternating Current Density, mn Content, electrospun Composite Nanofiber, microwave Heating, porosity, cycle Stability, intermediate Temperature, outer Tube, engineering Energy, and ambient Air."
MMTN,"Witantyo, Dr., Ir., M.Eng.Sc.","Materials Science and Engineering, with particular expertise in electrode, dielectric Spectroscopy, charging Status, voltammetry Glides, active Ingredients, computational Fluid Dynamics, sulfur content, resistance Coefficient, direct Observation, preheater, power plants, factory Equipment, casting Process, air Inlet, life cycle, loop Control System, mold Temperature, rolling Prisoners, engineering Energy, lead Sulfate, and dew Point."
MMTN,"Gatut Yudoyono, Dr., Drs., M.T.","Materials Science and Engineering, with particular expertise in sol Gel Deposition, film, carbon Film, grafena, refractive Index, this is it, density, magnesium, finite Difference Method, scanning Electron Microscope, rotary Coating, strontium is a type of strontium formed from a mixture of the following elements:, titanium Dioxide, simulation Results, sliding Glass, cell Performance, connecting Arah, multimode, temperature Changes, rotor, composite Fiber, sensor System, and numerical Studies."
MMTN,"Mochamad Zainuri, Dr., Drs., M.Si.","Materials Science and Engineering, with particular expertise in barium, film, surface Roughness, density, modulus of Elasticity, reduced Graphene Oxide, dilution, surface (Surface Science), poly Methyl Methacrylate, physical Properties, sodium, come Left, contact Angle, titanium Dioxide, absorbent Materials, radar Absorbing Material, band Gap Energy, test Results, loss of Reflection, conductive, gas Flow Rate, aluminum Matrix, mixing Solutions, network Analyst, hydrogen Dilution, sound Absorption, pita, steel Plate, sol-Gel Process, molar Ratio, solar Cells, glass Substrate, and water Contact Angle."
MMTN,"Daril Ridho Zuchrillah, S.T., M.T.",
MMTN,"Siti Zullaikah, S.T., M.T., Ph.D.","Pharmacology, Toxicology and Pharmaceutical Sciences, Food Science, and Chemical Engineering, with particular expertise in hypercholesterolemia, microemulsion, drug Delivery Systems, lactobacillus bacteria, molasses, proximate, rhizopus, phenolic Compounds, low Rank Coal, solvent Extraction, ethanol, hexane, lipid, sulfide Minerals, and transesterification."
AGRIFOTECH,"Nurlita Abdulgani, Dr.,Dra., M.Si.","Pharmacology, Toxicology and Pharmaceutical Sciences, Agricultural and Biological Sciences, and Immunology and Microbiology, with particular expertise in 3,4 Methylene Dioxy Amphetamine, anti-Infective Agent, antidiabetic Agent, freshwater, i'm starting, anchored, natural Antioxidants, the appeal, fatty acids, polyacrylamide Gel Electrophoresis, cobalt, scavenger, diabetes Mellitus, sucrase, coliform bacteria, mariculture, anal, endoparasites, non-timber Forest Products, porous animals, number of Plates, calcarifera lates, pen, steaming, sterilize, traditional medicine, prevalence, shorea walked, mass Spectrometry, natural Resources, pseudo Terranova, intestines, caudal Vein, mast Cell Degranulation, division, lipid Composition, piper (Plant), reverse Transcription Polymerase Chain Reaction, scopus, sponges (Porifera), stress Oxidative, and hemorrhagic Septicemia Virus Virus."
